FLBR id '8' sc 0 lt 0 dc lt 1 0 0 PDIN 0 0 '' pdin
TBLE
'2010/03/23;12:00:00' 312.9 <
'2010/03/24;12:00:00' 285.4 <
'2010/03/25;12:00:00' 313.4 <
'2010/03/26;12:00:00' 498.8 <
'2010/03/27;12:00:00' 392.1 <
'2010/03/28;12:00:00' 247.1 <
'2010/03/29;12:00:00' 281.6 <
'2010/03/30;12:00:00' 322.6 <
'2010/03/31;12:00:00' 284 <
'2010/04/01;12:00:00' 322.5 <
'2010/04/02;12:00:00' 302.1 <
'2010/04/03;12:00:00' 299.9 <
'2010/04/04;12:00:00' 182 <
'2010/04/05;12:00:00' 187.4 <
'2010/04/06;12:00:00' 273 <
'2010/04/07;12:00:00' 195.2 <
'2010/04/08;12:00:00' 272.6 <
'2010/04/09;12:00:00' 190.1 <
'2010/04/10;12:00:00' 178 <
'2010/04/11;12:00:00' 297.6 <
'2010/04/12;12:00:00' 192.2 <
'2010/04/13;12:00:00' 310.4 <
'2010/04/14;12:00:00' 230.6 <
'2010/04/15;12:00:00' 266.4 <
'2010/04/16;12:00:00' 259.7 <
'2010/04/17;12:00:00' 168.9 <
'2010/04/18;12:00:00' 157.1 <
'2010/04/19;12:00:00' 248.3 <
'2010/04/20;12:00:00' 180.2 <
'2010/04/21;12:00:00' 210 <
'2010/04/22;12:00:00' 251.5 <
'2010/04/23;12:00:00' 169.8 <
'2010/04/24;12:00:00' 211.3 <
'2010/04/25;12:00:00' 171.3 <
'2010/04/26;12:00:00' 245.6 <
'2010/04/27;12:00:00' 305 <
'2010/04/28;12:00:00' 311.7 <
'2010/04/29;12:00:00' 332.1 <
'2010/04/30;12:00:00' 252 <
'2010/05/01;12:00:00' 165.5 <
'2010/05/02;12:00:00' 210.4 <
'2010/05/03;12:00:00' 161.3 <
'2010/05/04;12:00:00' 227.3 <
'2010/05/05;12:00:00' 189.7 <
'2010/05/06;12:00:00' 312.4 <
'2010/05/07;12:00:00' 285.2 <
'2010/05/08;12:00:00' 246.2 <
'2010/05/09;12:00:00' 181.6 <
'2010/05/10;12:00:00' 174.2 <
'2010/05/11;12:00:00' 175.7 <
'2010/05/12;12:00:00' 159.2 <
'2010/05/13;12:00:00' 184.4 <
'2010/05/14;12:00:00' 154.9 <
'2010/05/15;12:00:00' 136 <
'2010/05/16;12:00:00' 290.8 <
'2010/05/17;12:00:00' 257.3 <
'2010/05/18;12:00:00' 163.6 <
'2010/05/19;12:00:00' 268.3 <
'2010/05/20;12:00:00' 239.2 <
'2010/05/21;12:00:00' 387.7 <
'2010/05/22;12:00:00' 270.3 <
'2010/05/23;12:00:00' 207.6 <
'2010/05/24;12:00:00' 198 <
'2010/05/25;12:00:00' 301.9 <
'2010/05/26;12:00:00' 228.2 <
'2010/05/27;12:00:00' 308 <
'2010/05/28;12:00:00' 231.9 <
'2010/05/29;12:00:00' 276.1 <
'2010/05/30;12:00:00' 232.6 <
'2010/05/31;12:00:00' 239.3 <
'2010/06/01;12:00:00' 201.1 <
'2010/06/02;12:00:00' 410.5 <
'2010/06/03;12:00:00' 375.2 <
'2010/06/04;12:00:00' 313.1 <
'2010/06/05;12:00:00' 338.1 <
'2010/06/06;12:00:00' 207.1 <
'2010/06/07;12:00:00' 157.3 <
'2010/06/08;12:00:00' 177.2 <
'2010/06/09;12:00:00' 193.2 <
'2010/06/10;12:00:00' 213.1 <
'2010/06/11;12:00:00' 243.5 <
'2010/06/12;12:00:00' 334.5 <
'2010/06/13;12:00:00' 218.2 <
'2010/06/14;12:00:00' 286.8 <
'2010/06/15;12:00:00' 335.3 <
'2010/06/16;12:00:00' 243.2 <
'2010/06/17;12:00:00' 207.2 <
'2010/06/18;12:00:00' 198.1 <
'2010/06/19;12:00:00' 277.5 <
'2010/06/20;12:00:00' 472.3 <
'2010/06/21;12:00:00' 233.7 <
'2010/06/22;12:00:00' 246.4 <
'2010/06/23;12:00:00' 187.8 <
tble flbr
FLBR id '9' sc 0 lt 0 dc lt 1 0 0 PDIN 0 0 '' pdin
TBLE
'2010/03/23;12:00:00' 20.22 <
'2010/03/24;12:00:00' 11.38 <
'2010/03/25;12:00:00' 15.8 <
'2010/03/26;12:00:00' 14.85 <
'2010/03/27;12:00:00' 17.37 <
'2010/03/28;12:00:00' 12.43 <
'2010/03/29;12:00:00' 10.32 <
'2010/03/30;12:00:00' 27.33 <
'2010/03/31;12:00:00' 44.34 <
'2010/04/01;12:00:00' 25.85 <
'2010/04/02;12:00:00' 17.37 <
'2010/04/03;12:00:00' 14.72 <
'2010/04/04;12:00:00' 12.22 <
'2010/04/05;12:00:00' 15.75 <
'2010/04/06;12:00:00' 13.49 <
'2010/04/07;12:00:00' 313 <
'2010/04/08;12:00:00' 253 <
'2010/04/09;12:00:00' 129.7 <
'2010/04/10;12:00:00' 202.2 <
'2010/04/11;12:00:00' 145.2 <
'2010/04/12;12:00:00' 84.56 <
'2010/04/13;12:00:00' 127.2 <
'2010/04/14;12:00:00' 449.2 <
'2010/04/15;12:00:00' 468.2 <
'2010/04/16;12:00:00' 281.6 <
'2010/04/17;12:00:00' 247.4 <
